#AVAILABLE,CITY,TYPE,RENT,BEDS,BATHS,PETS,SQ. FT.
"Now","SANFRANCISCO","Apartment","$2700","1","1.00","DogOK","600"
"Now","SANFRANCISCO","House","$2700","1","2.00","Call",""
"Now","SANFRANCISCO","Apartment","$2700","2","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2700","2","2.00","CatOK","1044"
"Now","SANFRANCISCO","Apartment","$2700","4","2.50","Call",""
"Now","SANFRANCISCO","Apartment","$2700","1","1.00","Call","700"
"Now","SANFRANCISCO","Apartment","$2703","1","1.00","PetOK","564"
"Now","SANFRANCISCO","Apartment","$2703","1","1.00","PetOK","564"
"Now","SANFRANCISCO","Apartment","$2733","1","1.00","PetOK","564"
"02/08/2012","SANFRANCISCO","Apartment","$2745","1","1.00","PetOK","630"
"Now","SANFRANCISCO","Apartment","$2749","3","2.00","CatOK","1260"
"Now","SANFRANCISCO","Apartment","$2749","3","2.00","DogOK","1260"
"Now","SANFRANCISCO","Apartment","$2750","Studio","1.00","Call","693"
"Now","SANFRANCISCO","Apartment","$2750","3","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2750","1","1.00","NoPets","700"
"Now","SANFRANCISCO","Apartment","$2750","2","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2750","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2750","2","2.00","PetOK","1000"
"Now","SANFRANCISCO","Apartment","$2750","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2791","1","1.00","DogOK","625"
"Now","SANFRANCISCO","Apartment","$2793","3","2.50","PetOK","1610"
"Now","SANFRANCISCO","Apartment","$2793","3","2.50","DogOK","1518"
"Now","SANFRANCISCO","Apartment","$2795","1","1.00","PetOK",""
"Now","SANFRANCSICO","Apartment","$2795","1","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2795","1","1.00","PetOK","718"
"Now","SANFRANCISCO","Apartment","$2795","1","1.00","PetOK","718"
"Now","SANFRANCISCO","Apartment","$2795","2","1.00","NoPets","1200"
"Now","SANFRANCISCO","Apartment","$2795","2","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2797","1","1.00","PetOK","625"
"Now","SANFRANCISCO","Apartment","$2797","1","1.00","DogOK","625"
"Now","SANFRANCISCO","Apartment","$2799","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2800","1","1.00","NoPets",""
"Now","SANFRANCISCO","Condo","$2800","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2800","Studio","1.00","PetOK","300"
"Now","SANFRANCISCO","Apartment","$2800","1","1.00","Call",""
"Now","SANFRANCISCO","House","$2800","3","1.00","NoPets","1700"
"Now","SANFRANCISCO","House","$2800","2","1.50","NoPets",""
"Now","SANFRANCISCO","Apartment","$2800","1","1.00","PetOK","790"
"Now","SANFRANCISCO","Apartment","$2800","4","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2800","2","2.00","NoPets",""
